,name,host_id,host_name,host_location,latitude,longitude,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,amenities,first_review,last_review,license,hosts_time_as_user_years,hosts_time_as_host_years,host_listings_count,accommodates,bathrooms,bedrooms,beds,reviews_per_month,price,minimum_nights,maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count
9680,Stunning 1BR near SagradaFamilia with smallbalcony,40270145,Tina,"Barcelona, Spain",41.4079954,2.1668025,t,t,t,el Camp d'en Grassot i Gràcia Nova,Gràcia,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Freezer"", ""Dishes and silverware"", ""ANYAH shampoo"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Electric stove"", ""Hair dryer"", ""TV"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Wine glasses"", ""Baking sheet"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Shower gel"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Self check-in"", ""Books and reading material"", ""Keypad"", ""Essentials"", ""Stainless steel oven""]",2024-03-13,2026-06-22,Spain - National registration number<br />ESFCTU00000805800063956200000000000000000HUTB-0026318<br /><br />Barcelona - Regional registration number<br />HUTB-002631,10.0,8.0,11.0,3.0,1.0,1.0,2.0,0.3,239.6,2.0,14.0,14.0,2.0,14.0,0,18,48,88,164.0,2.0,5.0,1.0,255,61098.0,4.93,4.95,4.95,4.97,5.0,4.92,4.84,9.0
9681,A2BA - Atico con terraza en Sant Gervasi,328004770,BarnaRent Apartments,"Barcelona, Spain",41.40163416159951,2.145020665931259,f,t,t,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Freezer"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Coffee"", ""Trash compactor"", ""Central heating"", ""Crib - available upon request"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Outdoor dining area"", ""Dedicated workspace"", ""Paid street parking off premises"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Outdoor shower"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Smart lock"", ""Clamp on table seat high chair - available upon request"", ""Hot water"", ""Refrigerator"", ""Air conditioning"", ""Iron"", ""Self check-in"", ""Safe"", ""Outdoor furniture""]",2024-05-04,2026-06-22,Spain - National registration number<br />ESFCTU00000805900004414100000000000000000HUTB-0772264<br /><br />Barcelona - Regional registration number<br />HUTB-077226,6.0,6.0,22.0,5.0,2.0,3.0,3.0,3.38,204.0,1.0,365.0,365.0,1.8,365.0,16,46,64,165,88.0,39.0,2.0,1.0,234,47736.0,4.58,4.66,4.55,4.84,4.84,4.69,4.45,21.0
9682,Roc - 2 bedrooms in Poblenou,346367515,Ukio,"Barcelona, Spain",41.40374,2.20773,f,t,t,el Poblenou,Sant Martí,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Pets allowed"", ""First aid kit"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Record player"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Blender"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Cleaning products"", ""Iron"", ""Essentials""]",2025-01-23,2025-01-23,Spain - National registration number<br />ESFCNT00000807200109175400000000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,6.0,6.0,7.0,4.0,1.0,2.0,2.0,0.06,126.78,31.0,125.0,125.0,31.0,125.0,0,0,17,257,1.0,0.0,0.0,1.0,0,0.0,5.0,5.0,5.0,4.8,5.0,5.0,5.0,6.0
9683,Apartament La Boqueria 3,529583861,Happy Flats,No especificado,41.3823214,2.1731078,f,t,t,el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Freezer"", ""Crib"", ""Dishes and silverware"", ""Pets allowed"", ""Single level home"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Patio or balcony"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Cooking basics"", ""Smart lock"", ""Body soap"", ""Hot water"", ""Refrigerator"", ""Air conditioning"", ""Iron"", ""Fast wifi \u2013 500 Mbps"", ""Self check-in""]",2024-03-11,2026-06-03,Barcelona - Regional registration number<br />HUTB-078571<br /><br />Spain - National registration number<br />ESFCTU00000805400006253900000000000000000HUTB-0785710,2.0,2.0,4.0,4.0,1.0,2.0,4.0,3.8,335.0,1.0,365.0,365.0,1.0,365.0,5,16,23,271,106.0,47.0,2.0,1.0,255,4900.0,4.65,4.61,4.75,4.63,4.76,4.81,4.56,4.0
9684,Fantastic 3 bedroom flat in Barceloneta,66296022,Suzy,"Barcelona, Spain",41.38056,2.19116,t,t,t,la Barceloneta,Ciutat Vella,Entire rental unit,Entire home/apt,"[""AC - split type ductless system"", ""Freezer"", ""Other electric stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Wifi"", ""Shampoo"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Clothing storage: closet""]",2024-11-30,2024-11-30,Sin licencia registrada,10.0,10.0,49.0,5.0,1.0,3.0,3.0,0.05,114.22,32.0,330.0,330.0,32.0,330.0,23,51,81,81,1.0,0.0,0.0,0.0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,44.0
9685,Luxury Flat 3BR 2BA FREE Parking Near To the Beach,37099096,Joan,"Barcelona, Spain",41.41371,2.21261,t,t,t,el Besòs i el Maresme,Sant Martí,Entire rental unit,Entire home/apt,"[""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Free parking garage on premises \u2013 1 space"", ""Coffee"", ""Free street parking"", ""65 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Netflix, standard cable"", ""First aid kit"", ""Babysitter recommendations"", ""Central heating"", ""Smoke alarm"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""Toaster"", ""Waterfront"", ""Outdoor dining area"", ""Dedicated workspace"", ""Paid street parking off premises"", ""Cleaning available during stay"", ""Bathtub"", ""Microwave"", ""Elevator"", ""Shared beach access"", ""Shampoo"", ""Wine glasses"", ""Baking sheet"", ""Cooking basics"", ""Clamp on table seat high chair - available upon request"", ""Body soap"", ""Hot water"", ""Washer"", ""Fire extinguisher"", ""Refrigerator"", ""Wifi \u2013 9 Mbps"", ""Air conditioning"", ""Host greets you"", ""Shower gel"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Pocket wifi"", ""Essentials"", ""Outdoor furniture""]",2024-04-09,2026-06-07,Spain - National registration number<br />ESFCTU0000081060008251300000000000000000HUTB076173018<br /><br />Barcelona - Regional registration number<br />HUTB-076173,10.0,8.0,8.0,6.0,1.0,3.0,5.0,3.53,326.38,1.0,365.0,365.0,3.0,365.0,5,18,35,280,95.0,38.0,2.0,1.0,228,74415.0,4.86,4.82,4.91,4.88,4.93,4.8,4.66,1.0
9686,Atlantida Unit 40m from the  beach (I.I),66296022,Suzy,"Barcelona, Spain",41.37829,2.18945,t,t,t,la Barceloneta,Ciutat Vella,Entire rental unit,Entire home/apt,"[""Private entrance"", ""Oven"", ""Dishes and silverware"", ""Paid parking off premises"", ""Heating"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Microwave"", ""Clothing storage"", ""Wifi"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Essentials"", ""Beach access""]",2025-01-12,2025-01-12,Spain - National registration number<br />ESHFNT00000811900017385900300000000000000000000000007<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,10.0,10.0,49.0,2.0,1.0,1.0,1.0,0.06,75.65,32.0,330.0,330.0,32.0,330.0,9,10,35,215,1.0,0.0,0.0,1.0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,44.0
9687,Loft in Barceloneta 5 min from the beach,66296022,Suzy,"Barcelona, Spain",41.38034,2.18793,t,t,t,la Barceloneta,Ciutat Vella,Entire rental unit,Entire home/apt,"[""Wifi"", ""Air conditioning"", ""Kitchen"", ""TV"", ""Cooking basics"", ""Washer""]",Sin reseñas,Sin reseñas,Spain - National registration number<br />ESHFNT00000811900008149900200000000000000000000000006<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,10.0,10.0,49.0,2.0,1.0,1.0,1.0,0.0,77.56,32.0,330.0,330.0,32.0,330.0,24,54,84,84,0.0,0.0,0.0,0.0,0,0.0,4.73,4.78,4.76,4.85,4.86,4.85,4.57,44.0
9688,11MAL1055 - Fantastic apartment Sagrada Familia,562920793,Mercantil Brescia,No especificado,41.405029327648535,2.1777013004597197,t,t,t,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Central air conditioning"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Central heating"", ""Dining table"", ""Bed linens"", ""Dishwasher"", ""Kitchen"", ""Patio or balcony"", ""Hair dryer"", ""TV"", ""Toaster"", ""Paid crib - available upon request"", ""Other stainless steel electric stove"", ""Microwave"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Wine glasses"", ""Cooking basics"", ""Hot water"", ""Refrigerator"", ""Host greets you"", ""Shower gel"", ""Iron"", ""Essentials""]",2024-03-25,2026-06-13,Spain - National registration number<br />ESFCTU000008073000933731000000000000000HUTB-076652246<br /><br />Barcelona - Regional registration number<br />HUTB-076652,2.0,2.0,23.0,5.0,2.0,2.0,3.0,2.48,402.83,2.0,365.0,365.0,2.0,365.0,18,48,78,341,68.0,2.0,3.0,40.0,255,4900.0,4.63,4.84,4.88,4.68,4.71,4.84,4.56,23.0
9689,Group Flat 3 nice flats nice area Pl. Espanya 16pp,1447144,Acomodis Apartments,"Barcelona, Spain",41.38064,2.14758,f,t,t,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Freezer"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Paid parking off premises"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Clothing storage"", ""Wifi"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""High chair"", ""Cleaning products"", ""Iron"", ""Safe"", ""Essentials"", ""Extra pillows and blankets""]",2024-04-08,2024-04-08,Spain - National registration number<br />ESHFTU000008067000256426001000000000000000HUTB0089859<br /><br />Barcelona - Regional registration number<br />HUTB-008985,14.0,14.0,7.0,3.0,1.0,2.0,2.0,0.04,177.7,1.0,330.0,330.0,1.0,330.0,30,60,90,365,1.0,0.0,0.0,0.0,0,0.0,5.0,4.8,4.8,5.0,5.0,4.8,4.0,6.0
9690,Sweett | Gaudi Avenue,32037490,Sweett,"Barcelona, Spain",41.4068,2.17434,f,t,t,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,"[""Free washer \u2013 In unit"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Coffee"", ""Crib - available upon request"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Patio or balcony"", ""Hair dryer"", ""TV with standard cable"", ""Toaster"", ""Housekeeping - available at extra cost"", ""Dedicated workspace"", ""Elevator"", ""Coffee maker: espresso machine, Nespresso"", ""Clothing storage"", ""Wifi"", ""Shampoo"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Cooking basics"", ""Smart lock"", ""Body soap"", ""Hot water"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Iron"", ""Self check-in"", ""Essentials"", ""Noise decibel monitors on property"", ""High chair - available upon request""]",2024-05-02,2026-06-17,Barcelona - Regional registration number<br />HUTB-004482<br /><br />Spain - National registration number<br />ESFCTU00000805800064459700000000000000000HUTB-0044828,11.0,11.0,7.0,7.0,2.0,2.0,4.0,3.59,328.0,1.0,1125.0,1125.0,3.0,1125.0,7,14,28,206,94.0,48.0,3.0,1.0,255,4900.0,4.6,4.6,4.8,4.8,4.64,4.85,4.53,6.0
9691,Room in Sants-Montjuïc BE20740002,518888520,Aticco Living,No especificado,41.38428,2.14123,f,t,t,Sants,Sants-Montjuïc,Private room in rental unit,Private room,"[""Refrigerator"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""TV"", ""Dedicated workspace"", ""Lock on bedroom door"", ""Washer""]",Sin reseñas,Sin reseñas,Spain - National registration number<br />ESHFNT00000805600061899000200000000000000000000000008<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,3.0,3.0,107.0,1.0,2.0,2.0,1.0,0.0,177.67,32.0,360.0,360.0,32.0,360.0,0,23,53,233,0.0,0.0,0.0,0.0,0,0.0,4.73,4.78,4.76,4.85,4.86,4.85,4.57,6.0
9692,Serennia Deluxe 5 bedrooms apart,63229593,Eva,"Barcelona, Spain",41.38664624902327,2.1665402824380298,f,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Coffee maker: Nespresso"", ""Dryer"", ""Oven"", ""Dishes and silverware"", ""Crib - available upon request"", ""Dining table"", ""Bed linens"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Elevator"", ""Wifi"", ""Shampoo"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Conditioner"", ""Host greets you"", ""Clothing storage: closet"", ""Iron"", ""Safe"", ""Essentials"", ""Noise decibel monitors on property"", ""High chair - available upon request""]",2024-06-05,2026-06-19,Spain - National registration number<br />ESFCTU00000805600020559600000000000000000HUTB-0073897<br /><br />Barcelona - Regional registration number<br />HUTB-007389,10.0,10.0,13.0,9.0,2.5,2.0,2.0,3.12,500.0,1.0,15.0,15.0,1.9,15.0,5,14,19,71,78.0,2.0,4.0,42.0,255,4900.0,4.9,4.88,4.88,4.86,4.92,4.97,4.77,12.0
9693,Room close to the beach MAS0150101,518888520,Aticco Living,No especificado,41.3983915,2.1991268,f,t,t,el Poblenou,Sant Martí,Private room in rental unit,Private room,"[""Freezer"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Patio or balcony"", ""Hair dryer"", ""TV"", ""Exterior security cameras on property"", ""Outdoor dining area"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Wifi"", ""Sun loungers"", ""Hammock"", ""Cooking basics"", ""BBQ grill"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Air conditioning"", ""Host greets you"", ""Iron"", ""Extra pillows and blankets"", ""Outdoor furniture""]",2024-04-30,2024-04-30,Spain - National registration number<br />ESHFNT00000807200108481700100000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,3.0,3.0,107.0,1.0,1.0,1.0,1.0,0.04,36.7,32.0,360.0,360.0,32.0,360.0,12,42,72,252,1.0,0.0,0.0,0.0,0,0.0,4.7,4.8,4.8,4.8,4.9,5.0,4.6,6.0
9694,Apt. 1BR duplex Poblenou,397090058,Caterina,No especificado,41.4035196,2.2046684,f,t,t,el Poblenou,Sant Martí,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Pets allowed"", ""Heating"", ""Stove"", ""Dining table"", ""Hangers"", ""Hair dryer"", ""TV"", ""Dedicated workspace"", ""Cleaning available during stay"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Wine glasses"", ""Cooking basics"", ""Backyard"", ""Body soap"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Air conditioning"", ""Iron"", ""Self check-in"", ""Keypad"", ""Essentials""]",2024-05-25,2024-05-25,Sin licencia registrada,5.0,5.0,31.0,2.0,1.0,1.0,1.0,0.04,123.33,31.0,335.0,335.0,31.0,335.0,0,0,0,161,1.0,0.0,0.0,0.0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,31.0
9695,Serennia Comfort 3 - 4Bedrooms Apart,63229593,Eva,"Barcelona, Spain",41.386602606341626,2.1660372380981263,f,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Private patio or balcony"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Dryer"", ""Oven"", ""Dishes and silverware"", ""Crib - available upon request"", ""Heating"", ""Bed linens"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Wifi"", ""Shampoo"", ""Luggage dropoff allowed"", ""Other induction stove"", ""Body soap"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Host greets you"", ""Clothing storage: closet"", ""Iron"", ""Safe"", ""Essentials"", ""Conditioner"", ""High chair - available upon request""]",2024-06-17,2026-06-20,Spain - National registration number<br />ESFCTU00000805600004754700000000000000000HUTB-0725789<br /><br />Barcelona - Regional registration number<br />HUTB-072578,10.0,10.0,13.0,9.0,2.0,2.0,2.0,1.99,460.0,1.0,15.0,15.0,1.9,15.0,3,7,19,78,49.0,36.0,4.0,20.0,216,4900.0,4.88,4.9,4.84,4.86,4.94,5.0,4.84,12.0
9696,Room with desk CAS1030005,518888520,Aticco Living,No especificado,41.38739349999999,2.1558813,f,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,"[""Dishes and silverware"", ""Heating"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Portable fans"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Wifi"", ""Ceiling fan"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Cleaning products"", ""Iron"", ""Essentials""]",2024-06-21,2024-06-21,Spain - National registration number<br />ESHFNT00000806000000680000100000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,3.0,3.0,107.0,1.0,2.0,1.0,1.0,0.04,27.85,32.0,360.0,360.0,32.0,360.0,0,7,37,217,1.0,0.0,0.0,0.0,0,0.0,5.0,5.0,4.8,5.0,5.0,5.0,4.0,6.0
9697,Serennia Superior 3 Bedrooms,63229593,Eva,"Barcelona, Spain",41.38667,2.16734,f,t,t,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Dryer"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Bed linens"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Cooking basics"", ""Body soap"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Safe"", ""Essentials"", ""High chair - available upon request""]",2026-05-12,2026-06-07,Spain - National registration number<br />ESFCTU00000805600049482200000000000000000HUTB-0076845<br /><br />Barcelona - Regional registration number<br />HUTB-007684,10.0,10.0,13.0,4.0,2.0,3.0,6.0,1.33,397.5,1.0,15.0,15.0,2.0,15.0,5,28,52,151,2.0,2.0,1.0,0.0,12,4770.0,4.5,4.5,5.0,4.8,4.5,4.5,4.5,12.0
9698,AMBER-HOME  exclusivo y céntrico,41832053,Sonia,"Vilanova i la Geltrú, Spain",41.38548369509273,2.1583567273407573,f,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Free dryer"", ""Hot water kettle"", ""Coffee maker: Nespresso"", ""Central air conditioning"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Board games"", ""Central heating"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Wine glasses"", ""Cooking basics"", ""Fire extinguisher"", ""Body soap"", ""Washer"", ""Hot water"", ""Long term stays allowed"", ""Refrigerator"", ""Host greets you"", ""Clothing storage: closet"", ""Cleaning products"", ""Room-darkening shades"", ""Iron"", ""Essentials""]",2024-10-05,2026-04-18,Spain - National registration number<br />ESFCNT00000805600305976900000000000000000000000000007<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,10.0,10.0,16.0,4.0,2.0,2.0,2.0,0.24,137.39,31.0,90.0,90.0,31.0,90.0,0,3,33,213,5.0,4.0,0.0,2.0,248,34073.0,4.8,5.0,5.0,5.0,5.0,4.8,4.4,7.0
9699,Premium 2-Bedroom Apartment in Les Corts,4212095,Elio / Wilken,"Barcelona, Spain",41.38595,2.13053,t,t,t,les Corts,Les Corts,Entire rental unit,Entire home/apt,"[""Portable fans"", ""Oven"", ""Dedicated workspace"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Washer"", ""Essentials"", ""TV"", ""Private patio or balcony"", ""Hair dryer"", ""Hot water kettle"", ""Iron"", ""Portable heater"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Heating - split type ductless system"", ""Freezer"", ""Blender"", ""Exterior security cameras on property"", ""Induction stove"", ""Toaster"", ""Cooking basics"", ""Dishes and silverware"", ""Drying rack for clothing"", ""First aid kit"", ""Clothing storage"", ""Bed linens"", ""Wine glasses"", ""Host greets you"", ""Hangers"", ""Baby bath - available upon request"", ""AC - split type ductless system"", ""Free dryer \u2013 In unit"", ""Fire extinguisher"", ""Coffee maker: Nespresso"", ""Room-darkening shades""]",2024-07-13,2026-05-29,Spain - National registration number<br />ESHFNT00000806000052385700800000000000000000000000004<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,13.0,13.0,33.0,4.0,1.0,2.0,2.0,0.21,177.67,31.0,1125.0,1125.0,31.0,1119.3,0,0,24,25,5.0,3.0,0.0,0.0,186,33046.619999999995,5.0,5.0,5.0,5.0,5.0,5.0,5.0,33.0
9700,Ona - 2 bedrooms in Sant Gervasi,346367515,Ukio,"Barcelona, Spain",41.40338,2.13473,f,t,t,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Pets allowed"", ""First aid kit"", ""Smoke alarm"", ""Heating"", ""Stove"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Blender"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Cleaning products"", ""Iron"", ""Essentials""]",Sin reseñas,Sin reseñas,Spain - National registration number<br />ESHFNT00000805900050515400100000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,6.0,6.0,7.0,4.0,1.0,2.0,2.0,0.0,118.66,31.0,125.0,125.0,31.0,125.0,0,4,9,117,0.0,0.0,0.0,0.0,0,0.0,4.73,4.78,4.76,4.85,4.86,4.85,4.57,6.0
9701,Beautiful newly restored flat in El Borne,56681849,Cris,"Barcelona, Spain",41.38574,2.1782,t,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Coffee maker: Nespresso"", ""Electrolux induction stove"", ""Housekeeping available from 8:00\u202fAM to 5:00\u202fPM, every day - available at extra cost"", ""Freezer"", ""Heating - split type ductless system"", ""Dishes and silverware"", ""Paid parking off premises"", ""Smoke alarm"", ""Laundromat nearby"", ""Dining table"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Kitchen"", ""Patio or balcony"", ""TV"", ""Toaster"", ""Waterfront"", ""Dedicated workspace"", ""Microwave"", ""Drying rack for clothing"", ""Wifi"", ""Electrolux single oven"", ""Luggage dropoff allowed"", ""Ethernet connection"", ""Bosch refrigerator"", ""Wine glasses"", ""Cooking basics"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Hot water"", ""Washer"", ""Long term stays allowed"", ""Air conditioning"", ""Host greets you"", ""Room-darkening shades"", ""Books and reading material"", ""Essentials"", ""Extra pillows and blankets""]",2024-05-04,2026-06-02,Spain - National registration number<br />ESFCNT00000805400007013800000000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,10.0,2.0,1.0,2.0,1.0,1.0,2.0,0.34,52.47,31.0,330.0,330.0,32.7,330.0,0,1,1,138,9.0,5.0,1.0,5.0,255,13380.0,5.0,4.89,4.89,5.0,5.0,4.78,4.56,1.0
9702,Ebre - 1 bedroom and balcony in Eixampre Esquerre,346367515,Ukio,"Barcelona, Spain",41.3825,2.15651,f,t,t,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,"[""Hot water kettle"", ""Freezer"", ""Oven"", ""Dishes and silverware"", ""Pets allowed"", ""Heating"", ""Stove"", ""Bed linens"", ""Hangers"", ""Dishwasher"", ""Record player"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Toaster"", ""Dedicated workspace"", ""Microwave"", ""Elevator"", ""Drying rack for clothing"", ""Wifi"", ""Coffee maker"", ""Blender"", ""Cooking basics"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Air conditioning"", ""Cleaning products"", ""Iron"", ""Essentials""]",Sin reseñas,Sin reseñas,Spain - National registration number<br />ESFCNT00D20806700029536400000000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,6.0,6.0,7.0,2.0,1.0,1.0,1.0,0.0,105.2,31.0,125.0,125.0,31.0,125.0,3,33,63,338,0.0,0.0,0.0,0.0,0,0.0,4.73,4.78,4.76,4.85,4.86,4.85,4.57,6.0
